PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20230104;01;2023;7309060;1;1;1;70;;1;1580.6772728;25;1;;;;;1;;40;2000000;1;;0;2;6;BIBLIOTECARIA BUSCABA Y ENTREGABA LIBROS;2;7;2;1;1;1;1000000;.;2622;84;8412
20230104;01;2023;7309062;1;1;1;70;;1;1276.3316374;25;1;;;;;1;;48;1000000;1;;60;4;6;CONDUCIA TAXI;4;1;2;2;;2;;.;8324;49;4921
20230104;01;2023;7309063;1;1;1;70;;1;1276.3316374;25;1;;;;;;;;;1;;200;1;6;CARNICERO VENDIA CARNE;1;2;2;2;;2;;.;7511;47;4723
20230104;01;2023;7309065;1;1;1;70;;2;187.86539973;66;1;;;;;;;;;1;;60;0;4;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20230104;01;2023;7309067;1;1;1;70;;2;167.45736593;66;;2;1;24;1;;;48;1300000;1;;24;2;4;CONDUCTOR DE TRACTOMULA;1;4;2;2;;2;;8332;8332;49;4923
20230104;01;2023;7309067;1;2;1;70;;2;167.45736593;66;;1;1;3;1;;;48;1300000;1;;4;1;8;AUXILIAR ADMINISTRATIVA EN COLEGIO;4;3;2;2;;2;;5329;4110;85;8521
20230104;01;2023;7309068;1;2;1;70;;2;115.53099257;66;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230104;01;2023;7309069;1;1;1;70;;2;232.33489063;66;1;;;;;;;;;1;;360;2;5;ASEADORA DE CASAS Y APARTAMENTOS;4;1;2;3;;2;;.;9111;81;8121
20230104;01;2023;7309069;1;4;1;70;;2;232.33489063;66;1;;;;;;;;;1;;320;2;5;RECOLECTOR DE CAFE;7;4;2;2;;2;;.;9211;01;0123
20230104;01;2023;7309070;1;3;1;70;;2;228.37566725;66;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230104;01;2023;7309071;1;1;1;70;;2;213.7089245;66;1;;;;;1;;48;1000000;1;;0;2;8;EMPACADOR DE PEGANTE LIQUIDO;1;3;2;2;;2;;.;9321;46;4663
20230104;01;2023;7309071;1;2;1;70;;2;213.7089245;66;1;;;;;;;;;1;;48;0;4;EMPACADORA DE CAFE;1;4;2;2;;2;;.;9321;46;4620
20230104;01;2023;7309073;1;3;1;70;;2;202.1895362;66;;1;1;8;1;;;48;1000000;1;;2;0;6;CUIDAR ADULTO MAYOR;1;3;2;2;;2;;5131;5321;87;8710
20230104;01;2023;7309073;1;5;1;70;;2;202.1895362;66;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230104;01;2023;7309074;1;1;1;70;;2;214.89060425;66;1;;;;;;;;;1;;60;0;3;VENDEDORA DE CHILES;4;1;2;2;;2;;.;5221;46;4631
20230104;01;2023;7309075;1;1;1;70;;2;137.97422227;66;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230104;01;2023;7309076;1;1;1;70;;2;187.75205948;66;1;;;;;;;;;1;;89;4;3;EMPLEADA DOMESTIA;3;2;2;2;;2;;.;9111;97;9700
20230104;01;2023;7309076;1;2;1;70;;2;187.75205948;66;;2;1;25;1;;;48;1300000;1;;9;2;6;OPERARIA DE EMPACADO;1;5;2;2;;2;;8160;9321;14;1410
20230104;01;2023;7309076;1;5;1;70;;2;187.75205948;66;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230104;01;2023;7309076;1;6;1;70;;2;187.75205948;66;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230104;01;2023;7309077;1;1;1;70;;2;138.75687287;66;1;;;;;;;;;1;;250;0;3;COCINERA EN RESTURANTE;1;3;2;2;;2;;.;5120;56;5611
20230104;01;2023;7309078;1;2;1;70;;2;100.39150555;66;1;;;;;;;;;1;;180;0;4;GUARDA DE SEGURIDAD;1;2;2;2;;2;;.;5414;68;6820
20230104;01;2023;7309079;1;1;1;70;;2;111.32764429;66;1;;;;;;;;;1;;192;0;5;LIMPIEZA A OFICINAS EN EMPRESA;1;10;2;3;;2;;.;9112;84;8430
20230104;01;2023;7309079;1;2;1;70;;2;111.32764429;66;1;;;;;;;;;1;;190;0;5;ESCOBITA;1;9;2;3;;2;;.;9613;36;3600
20230104;01;2023;7309080;1;2;1;70;;2;141.07189471;66;1;;;;;;;;;1;;60;0;5;AUDITORA DE LIGA RISARALDENSE DE BOLOS;1;8;2;3;;2;;.;3339;93;9329
20230104;01;2023;7309082;1;5;1;70;;2;119.34815465;66;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230104;01;2023;7309084;1;2;1;70;;2;152.89314572;66;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
