PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20230208;02;2023;7338343;1;1;01;;2;287.80126112;18;1;5;3;1;1;2;2;2;;2;1;5;2;2;1;4;2;1;5;5;;;;80000;;;;;;;;;;1;;;3
20230208;02;2023;7338344;1;1;01;;2;371.63210403;18;1;5;3;1;1;2;2;2;;2;1;5;1;2;1;4;2;1;5;4;;;;50000;;;;;;;;;;1;;;4
20230208;02;2023;7338345;1;1;01;;2;333.79102895;18;1;1;4;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;4;3;;;;;50000;;;;;;;;;1;;;4
20230208;02;2023;7338346;1;1;01;;2;259.60038427;18;1;1;1;1;1;2;2;2;;2;1;4;3;2;1;4;2;1;4;5;;;;70000;;;;;;;;;;1;;;3
20230208;02;2023;7338347;1;1;01;;2;215.02179881;18;1;5;3;1;1;2;2;2;;2;1;2;1;2;1;4;2;1;4;1;;;1000000;30000;;;;;;;;;;1;;;1
20230208;02;2023;7338348;1;1;01;;2;316.76443659;18;1;5;2;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;5;1;;;5000000;150000;;;;;;;;;;1;;;4
20230208;02;2023;7338349;1;1;01;;2;166.12934315;18;1;1;4;1;1;2;2;2;;2;1;3;1;2;1;4;2;1;4;1;;;10000000;100000;;;1;;;;;;;;;;2
20230208;02;2023;7338350;1;1;01;;2;554.8660118;18;1;1;4;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;4;3;;;;;150000;;;;;;;;;1;;;6
20230208;02;2023;7338351;1;1;01;;2;157.84071575;18;1;5;1;1;1;2;2;2;;2;1;2;1;2;1;4;2;5;4;4;;;;100000;;;1;;;;;;;;;;1
20230208;02;2023;7338352;1;1;01;;2;338.1929658;18;1;5;2;1;1;2;2;2;;2;1;3;1;2;1;4;2;1;4;5;;;;150000;;;;;;;;;;1;;;3
20230208;02;2023;7338353;1;1;01;;2;249.96018605;18;1;5;2;1;1;2;2;2;;2;1;3;1;2;1;4;2;3;4;5;;;;100000;;;1;;;;;;;;;;3
20230208;02;2023;7338354;1;1;01;;2;287.80126112;18;1;1;2;1;1;2;2;2;;2;1;4;2;2;1;4;2;1;4;3;;;;;130000;;;;;;;;;1;;;3
20230205;02;2023;7338355;1;1;01;05;1;992.91650813;05;2;1;4;1;3;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;1150000;;1;;;;;;;;;;1
20230205;02;2023;7338356;1;1;01;05;1;992.91650813;05;2;1;4;1;3;1;1;1;2;1;1;3;3;1;1;1;1;1;3;1;;;190000000;1300000;;;1;;;;;;;;;;1
20230205;02;2023;7338357;1;1;01;05;1;1059.599491;05;2;1;4;1;3;1;1;1;2;1;1;4;2;1;1;1;1;1;3;3;;;;;780000;;1;;;;;;;;;;3
20230205;02;2023;7338358;1;1;01;05;1;1493.5315753;05;2;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;;;98;400000;;;1;;;;;;;;;;2
20230205;02;2023;7338359;1;1;01;05;1;1078.1473023;05;2;1;4;1;4;1;1;1;2;1;1;1;1;1;1;1;1;2;3;3;;;;;1100000;;1;;;;;;;;;;1
20230205;02;2023;7338360;1;1;01;05;1;1339.8912606;05;2;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;4;;;;500000;;;;;;;;;;1;;;5
20230205;02;2023;7338361;1;1;01;05;1;953.99445843;05;2;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;1;;;80000000;500000;;;1;;;;;;;;;;6
20230205;02;2023;7338362;1;1;01;05;1;984.23669142;05;2;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;4;3;;;;;350000;;1;;;;;;;;;;3
20230205;02;2023;7338363;1;1;01;05;1;1703.6265828;05;2;1;2;1;2;1;1;1;2;1;1;5;2;1;1;1;1;1;3;4;;;;1000000;;;1;;;;;;;;;;2
20230205;02;2023;7338364;1;1;01;05;1;1462.8965599;05;2;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;;;98;600000;;;1;;;;;;;;;;2
20230205;02;2023;7338365;1;1;01;05;1;1639.8893482;05;2;1;4;1;2;1;1;1;2;1;1;3;3;1;1;1;1;1;3;1;;;30000000;500000;;;1;;;;;;;;;;6
20230205;02;2023;7338366;1;1;01;05;1;1379.5651881;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;70000000;380000;;;1;;;;;;;;;;4
20230205;02;2023;7338367;1;1;01;05;1;1493.5315753;05;2;1;2;1;2;1;1;1;2;1;1;2;2;1;1;1;1;1;3;4;;;;450000;;;1;;;;;;;;;;2
20230205;02;2023;7338369;1;1;01;05;1;1651.5072336;05;2;1;2;1;2;2;1;1;2;1;1;4;3;1;1;1;1;1;4;4;;;;700000;;;;;;;;;;1;;;5
20230205;02;2023;7338370;1;1;01;05;1;1727.3911699;05;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;550000;;1;;;;;;;;;;2
20230205;02;2023;7338371;1;1;01;05;1;1290.7932942;05;2;1;4;1;4;1;1;1;2;1;1;2;2;1;1;1;1;1;3;3;;;;;1250000;;1;;;;;;;;;;2
20230205;02;2023;7338372;1;1;01;05;1;1175.6342305;05;2;1;4;1;4;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;1700000;;;;;;;;;1;;;3
20230205;02;2023;7338373;1;1;01;05;1;1269.3256017;05;2;1;4;1;4;1;1;1;2;1;1;4;1;1;1;1;1;1;3;3;;;;;1340000;;1;;;;;;;;;;1
20230205;02;2023;7338374;1;1;01;05;1;1167.7818902;05;2;9;7;1;4;1;1;1;2;1;1;2;2;1;1;1;1;1;3;1;;;98;98;;;1;;;;;;;;;;2
20230205;02;2023;7338375;1;1;01;05;1;1353.1206829;05;2;1;4;1;4;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;1580000;;1;;;;;;;;;;1
20230205;02;2023;7338376;1;1;01;05;1;1113.7585695;05;2;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;720000;;1;;;;;;;;;;5
20230205;02;2023;7338377;1;1;01;05;1;1148.9689639;05;2;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;4;;;;98;;;1;;;;;;;;;;4
20230205;02;2023;7338378;1;1;01;05;1;982.56147094;05;2;1;4;1;2;2;1;1;2;1;1;4;3;1;1;1;1;1;1;4;;;;600000;;;1;;;;;;;;;;3
20230205;02;2023;7338379;1;1;01;05;1;986.64562439;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;150000000;1000000;;;1;;;;;;;;;;4
20230205;02;2023;7338380;1;1;01;05;1;958.81039403;05;2;1;4;1;2;1;1;1;2;1;1;4;1;1;1;1;1;1;3;3;;;;;500000;;;;;;;;;1;;;2
20230205;02;2023;7338381;1;1;01;05;1;959.13260719;05;2;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;50000000;600000;;;1;;;;;;;;;;3
20230205;02;2023;7338382;1;1;01;05;1;1105.960687;05;2;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;2;;98;180000000;900000;;;1;;;;;;;;;;4
20230205;02;2023;7338383;1;1;01;05;1;1099.8111729;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;4;;;;600000;;;1;;;;;;;;;;2
20230205;02;2023;7338384;1;1;01;05;1;662.09633515;05;2;1;4;1;3;1;1;1;2;1;1;2;1;1;1;1;1;1;3;1;;;80000000;600000;;;;;;;;;;1;;;1
