PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20230208;02;2023;7338343;1;2;1;70;;2;287.80126112;18;1;;;;;;;;;1;;24;0;3;AYUDANTE DE COCINA;1;2;2;2;;2;;.;9412;56;5611
20230208;02;2023;7338344;1;1;1;70;;2;371.63210403;18;;1;1;4;1;;;54;1500000;1;;1;0;9;ADMINISTRADOR DE FINCA GANADERA;1;3;2;2;;1;700000;1311;1311;01;0141
20230208;02;2023;7338344;1;2;1;70;;2;371.63210403;18;1;;;;;;;;;1;;24;0;3;ESTILISTA;1;3;2;2;;2;;.;5141;96;9602
20230208;02;2023;7338346;1;2;1;70;;2;259.60038427;18;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230208;02;2023;7338346;1;3;1;70;;2;259.60038427;18;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230208;02;2023;7338348;1;2;1;70;;2;316.76443659;18;1;;;;;1;;40;500000;1;;14;0;8;PREPARACION DE ALIMENTOS;1;2;2;2;;2;;.;5120;56;5611
20230208;02;2023;7338348;1;3;1;70;;2;316.76443659;18;;1;1;5;4;;;48;900000;1;;1;2;8;LIMPIA POTREROS Y ARREGLO DE CERCOS;4;1;2;2;;1;300000;9211;9211;01;0161
20230208;02;2023;7338352;1;1;1;70;;2;338.1929658;18;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230208;02;2023;7338353;1;1;1;70;;2;249.96018605;18;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230208;02;2023;7338354;1;2;1;70;;2;287.80126112;18;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338358;1;1;1;70;05;1;1493.5315753;05;1;;;;;;;;;1;;0;2;4;VENDEDOR EN FERRETERIA;4;2;2;2;;2;;.;5223;47;4752
20230205;02;2023;7338359;1;1;1;70;05;1;1078.1473023;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338360;1;2;1;70;05;1;1339.8912606;05;1;;;;;;;;;1;;24;0;9;VENDEDORA DE MOSTRADOR DE TIENDA DE BARRIO;1;2;2;2;;2;;.;5223;47;4711
20230205;02;2023;7338360;1;4;1;70;05;1;1339.8912606;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338361;1;1;1;70;05;1;953.99445843;05;1;;;;;1;;48;1160000;1;;2;1;3;OPERARIA DE MAQUINA PLANA;4;1;2;2;;2;;.;8153;14;1410
20230205;02;2023;7338362;1;2;1;70;05;1;984.23669142;05;1;;;;;;;;;1;;120;0;3;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20230205;02;2023;7338363;1;1;1;70;05;1;1703.6265828;05;1;;;;;;;;;1;;36;2;5;OPERARIA DE ASEO;1;10;2;3;;2;;.;9112;47;4711
20230205;02;2023;7338363;1;2;1;70;05;1;1703.6265828;05;1;;;;;;;;;1;;1;0;2;LAVADOR DE AUTOS;4;1;2;2;;2;;.;7132;45;4520
20230205;02;2023;7338365;1;1;1;70;05;1;1639.8893482;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338365;1;5;1;70;05;1;1639.8893482;05;;1;1;8;1;;;48;1160000;1;;2;0;6;AUXILIAR DE BODEGA;1;8;2;2;;2;;4321;4321;46;4631
20230205;02;2023;7338366;1;1;1;70;05;1;1379.5651881;05;1;;;;;2;5;;1160000;1;;192;2;4;AUXILIAR DE BODEGA;1;10;2;2;;2;;.;4321;53;5320
20230205;02;2023;7338366;1;2;1;70;05;1;1379.5651881;05;1;;;;;;;;;1;;24;2;4;OPERARIA DE ASEO;1;4;2;2;;2;;.;9112;47;4754
20230205;02;2023;7338366;1;4;1;70;05;1;1379.5651881;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338367;1;1;1;70;05;1;1493.5315753;05;1;;;;;;;;;1;;360;1;3;MESERA;1;6;2;2;;2;;.;5131;93;9329
20230205;02;2023;7338367;1;2;1;70;05;1;1493.5315753;05;1;;;;;;;;;1;;180;0;4;CONDUCTOR DE CAMION;4;1;2;2;;2;;.;8332;49;4923
20230205;02;2023;7338370;1;2;1;70;05;1;1727.3911699;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338371;1;2;1;70;05;1;1290.7932942;05;1;;;;;;;;;1;;200;0;5;CAJERA;1;10;2;3;;2;;.;5230;47;4711
20230205;02;2023;7338372;1;1;1;70;05;1;1175.6342305;05;1;;;;;;;;;1;;120;5;5;JEFE DE PLANTA;1;8;2;3;;2;;.;1321;29;2930
20230205;02;2023;7338372;1;2;1;70;05;1;1175.6342305;05;1;;;;;;;;;1;;144;5;3;GUARDA DE SEGURIDAD;1;9;2;2;;2;;.;5414;86;8621
20230205;02;2023;7338374;1;2;1;70;05;1;1167.7818902;05;1;;;;;;;;;1;;70;0;5;VENDEDORA DE MOSTRADOR;1;4;2;3;;2;;.;5223;45;4530
20230205;02;2023;7338375;1;1;1;70;05;1;1353.1206829;05;1;;;;;;;;;1;;180;5;5;VISITADOR MEDICO PROFESIONAL;1;9;2;3;;2;;.;2433;86;8621
20230205;02;2023;7338376;1;3;1;70;05;1;1113.7585695;05;1;;;;;;;;;1;;12;0;4;VENDEDORA DE MOSTRADOR DE ESTANQUILLO;4;1;2;2;;2;;.;5223;47;4724
20230205;02;2023;7338376;1;5;1;70;05;1;1113.7585695;05;;2;1;60;1;;;48;2000000;1;;24;0;8;HACER INGRESOS DE PACIENTES AL SISTEMA;1;10;2;2;;2;;4120;4120;86;8621
20230205;02;2023;7338377;1;2;1;70;05;1;1148.9689639;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338378;1;2;1;70;05;1;982.56147094;05;1;;;;;;;;;1;;60;0;4;PELUQUERA;4;1;2;2;;2;;.;5141;96;9602
20230205;02;2023;7338378;1;3;1;70;05;1;982.56147094;05;;2;1;156;1;;;48;1160000;1;;36;0;1;INSTALADOR DE AIRE ACONDICIONADO;1;4;2;2;;2;;7126;7126;43;4322
20230205;02;2023;7338380;1;1;1;70;05;1;958.81039403;05;1;;;;;;;;;1;;240;0;4;AYUDANTE DE CONSTRUCCION;4;1;2;2;;2;;.;9313;41;4111
20230205;02;2023;7338380;1;2;1;70;05;1;958.81039403;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338381;1;2;1;70;05;1;959.13260719;05;1;;;;;;;;;1;;360;1;3;MODISTA;4;1;2;2;;2;;.;7531;95;9529
20230205;02;2023;7338382;1;2;1;70;05;1;1105.960687;05;1;;;;;2;4;;1160000;1;;60;0;3;COMERCIANTE DE ROPA;4;1;2;2;;2;;.;1420;47;4771
20230205;02;2023;7338383;1;1;1;70;05;1;1099.8111729;05;1;;;;;1;;24;1160000;1;;36;0;2;VENDEDORA DE MOSTRADOR DE TIENDA;1;2;2;2;;2;;.;5223;47;4711
20230205;02;2023;7338383;1;2;1;70;05;1;1099.8111729;05;1;;;;;;;;;1;;1;2;2;LAVAR Y SECAR GRANOS CAFE;7;3;2;2;;2;;.;9211;01;0123
20230205;02;2023;7338384;1;1;1;70;05;1;662.09633515;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338385;1;1;1;70;05;1;735.66259462;05;1;;;;;;;;;1;;120;0;3;PULIR PRENDAS DE COBFECCION;1;4;2;2;;2;;.;7531;14;1410
20230205;02;2023;7338387;1;1;1;70;05;1;680.8121141;05;1;;;;;;;;;1;;160;0;8;CONDUCTOR DE VEHICULO FURGON;1;10;2;3;;2;;.;8332;10;1040
20230205;02;2023;7338387;1;2;1;70;05;1;680.8121141;05;1;;;;;;;;;1;;230;0;3;APLANCHAR PANTALONES;1;4;2;2;;2;;.;9329;14;1410
20230205;02;2023;7338389;1;3;1;70;05;1;1446.0559886;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338390;1;5;1;70;05;1;841.88244343;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338392;1;1;1;70;05;1;804.59613485;05;1;;;;;;;;;1;;120;0;8;MANIPULACION DE ALIMENTOS;1;10;2;2;;2;;.;5120;87;8730
20230205;02;2023;7338392;1;2;1;70;05;1;804.59613485;05;1;;;;;;;;;1;;36;0;4;AUXILIAR DE CONSTRUCCION;4;1;2;2;;2;;.;9313;41;4111
20230205;02;2023;7338395;1;2;1;70;05;1;942.84944039;05;1;;;;;;;;;1;;24;5;1;LIMPIEZA GENERAL DE OFICINAS;1;6;2;2;;2;;.;9112;86;8621
20230205;02;2023;7338395;1;3;1;70;05;1;942.84944039;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338396;1;2;1;70;05;1;1577.4320212;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338397;1;1;1;70;05;1;1782.3075165;05;;2;1;144;1;;;48;1160000;1;;36;0;8;ESTAMPAR CAMISETAS;1;4;2;2;;2;;9333;8154;13;1313
20230205;02;2023;7338398;3;1;3;70;05;1;1885.3430763;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338399;1;2;1;70;05;1;1831.1685314;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338400;1;1;1;70;05;1;4485.9170401;05;1;;;;;;;;;1;;24;0;5;RECOLECTAR Y ARCHIVAR INFORMACION;2;10;2;3;;2;;.;4415;84;8424
20230205;02;2023;7338404;1;1;1;70;05;1;711.06058891;05;;1;1;8;1;;;48;1000000;1;;5;0;8;CARGUE Y DESCARGUE DE MERCANCIA;4;1;2;2;;2;;9510;9333;52;5224
20230205;02;2023;7338404;1;2;1;70;05;1;711.06058891;05;1;;;;;;;;;1;;2;0;8;ENCARGADA DE VERIFICAR CONFECCIONES;1;10;2;2;;2;;.;7543;14;1410
20230205;02;2023;7338404;1;3;1;70;05;1;711.06058891;05;1;;;;;;;;;1;;5;0;8;VENDEDORA DE MOSTRADOR;1;2;2;2;;2;;.;5223;47;4771
20230205;02;2023;7338405;1;2;1;70;05;1;725.58385546;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338405;1;3;1;70;05;1;725.58385546;05;;1;1;8;1;;;48;1200000;1;;3;1;8;OFICIAL DE CONSTRUCCION;1;6;2;2;;2;;7112;7112;41;4112
20230205;02;2023;7338406;1;2;1;70;05;1;679.30063058;05;1;;;;;;;;;1;;3;0;1;EMPACADORA EN SUPERMERCADO;1;4;2;2;;2;;.;5221;47;4711
20230205;02;2023;7338407;1;1;1;70;05;1;711.06058891;05;;1;1;2;1;;;48;1160000;1;;0;2;1;CONDUCTOR DE BUS;1;10;2;2;;2;;8323;8323;49;4921
20230205;02;2023;7338407;1;3;1;70;05;1;711.06058891;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338408;1;1;1;70;05;1;1040.2763432;05;;1;1;4;1;;;48;1160000;1;;2;0;3;VENDEDORA DE MOSTRADOR DE ALMACEN;1;3;2;2;;2;;5223;5223;47;4771
20230205;02;2023;7338411;1;2;1;70;05;1;5126.7887904;05;1;;;;;2;5;;1000000;1;;1;0;8;VENDEDORA DE MOSTRADOR;1;10;2;2;;2;;.;5223;47;4771
20230205;02;2023;7338412;1;2;1;70;05;1;787.15141111;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338414;1;1;1;70;05;1;1178.8997863;05;1;;;;;;2;;1160000;1;;1;1;8;CONDUCTOR DE VEHICULO PARTICULAR;4;1;2;2;;2;;.;8323;49;4921
20230205;02;2023;7338414;1;2;1;70;05;1;1178.8997863;05;1;;;;;;;;;1;;0;2;3;TELEMERCADEO LLAMAR A PROVEEDORES PARA PASAR PEDIDOS;1;10;2;2;;1;1200000;.;4222;21;2100
20230205;02;2023;7338414;1;3;1;70;05;1;1178.8997863;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338415;1;1;1;70;05;1;765.0890984;05;1;;;;;;;;;1;;60;5;3;AUXILIAR CONTABLE;1;6;2;2;;2;;.;4311;56;5611
20230205;02;2023;7338416;1;2;1;70;05;1;736.07742855;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338416;1;3;1;70;05;1;736.07742855;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230205;02;2023;7338419;1;2;1;70;05;1;2080.1166297;05;;1;1;10;1;;;48;1160000;1;;2;1;6;AUXILIAR DE COCINA PREPARAR ALIMENTOS;1;5;2;2;;2;;9412;9412;56;5619
20230205;02;2023;7338422;1;2;1;70;08;1;697.15685832;08;;2;1;15;1;;;48;1315000;1;;16;1;8;AUXILIAR DE PROYECTOS CIVILES SUPERVISOR EN OBRA;1;10;2;2;;2;;2142;3123;41;4111
20230205;02;2023;7338423;1;1;1;70;08;1;451.83996531;08;1;;;;;;;;;1;;480;2;1;DOCENTE DE BASICA PRIMARIA;1;6;2;2;;2;;.;2341;85;8513
20230205;02;2023;7338423;1;2;1;70;08;1;451.83996531;08;1;;;;;;;;;1;;60;1;5;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20230205;02;2023;7338424;1;1;1;70;08;1;593.63119058;08;1;;;;;;;;;1;;220;0;5;CONTADOR LLEVABA REGISTROS DE ACTIVOS Y PASIVOS DE LA EMPRESA;4;1;2;3;;2;;.;2411;69;6920
