PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20230313;03;2023;7367360;1;1;01;;1;1160.7464571;70;1;1;2;1;2;1;1;1;3;1;1;3;3;1;1;1;1;1;3;1;;;50000000;350000;;;;;;;;;;1;;;3
20230313;03;2023;7367361;1;1;01;;1;763.32271375;70;1;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;4;;;;600000;;;;;;;;;;1;;;5
20230313;03;2023;7367362;1;1;01;;1;1027.3444118;70;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;300000;;;;;;;;;1;;;1
20230313;03;2023;7367363;1;1;01;;1;1225.4686929;70;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;450000;;1;;;;1;;;;;;3
20230313;03;2023;7367364;1;1;01;;1;910.85619151;70;1;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;3;2;;410000;150000000;600000;;;1;;;;1;;;;;;1
20230313;03;2023;7367365;1;1;01;;2;234.83145026;18;1;5;3;1;1;2;2;1;2;2;1;3;1;3;1;1;2;3;4;1;;;10000000;80000;;;;;;;;;;1;;;2
20230313;03;2023;7367366;1;1;01;;2;278.60750316;18;1;1;2;1;1;2;2;1;2;2;1;3;2;3;1;1;2;1;4;3;;;;;500000;;;;;;;;;1;;;2
20230313;03;2023;7367367;1;1;01;;2;244.66418307;18;1;5;3;1;1;2;2;1;2;2;1;2;1;3;1;1;2;3;4;4;;;;60000;;;;;;;;;;1;;;1
20230313;03;2023;7367368;1;1;01;;2;344.74159389;18;1;5;3;1;1;2;2;1;2;2;1;4;2;3;1;1;2;1;4;1;;;13000000;300000;;;;;;;;;;1;;;3
20230313;03;2023;7367369;1;1;01;;2;452.14973537;18;1;5;3;1;1;2;2;1;2;2;1;3;2;3;1;1;2;1;4;3;;;;;150000;;;;;;;;;1;;;3
