PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20230313;03;2023;7367360;1;2;1;70;;1;1160.7464571;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230313;03;2023;7367360;1;3;1;70;;1;1160.7464571;70;;2;1;16;4;;;48;800000;1;;6;0;8;AYUDANTE DE ALBAÑILERIA;4;2;2;2;;2;;9313;9313;41;4112
20230313;03;2023;7367361;1;2;1;70;;1;763.32271375;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230313;03;2023;7367361;1;5;1;70;;1;763.32271375;70;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230313;03;2023;7367365;1;1;1;70;;2;234.83145026;18;1;;;;;;;;;1;;9;0;3;LABORES DOMESTICAS;3;1;2;2;;2;;.;9111;97;9700
20230313;03;2023;7367365;1;2;1;70;;2;234.83145026;18;1;;;;;;;;;1;;0;3;4;CARGUE Y DESCARGUE DE BULTOS;4;1;2;2;;2;;.;9333;52;5224
20230313;03;2023;7367368;1;1;1;70;;2;344.74159389;18;1;;;;;;;;;1;;12;0;3;ABONAR Y CUIDAR CULTIVOS DE PAPAYA Y LIMONES;7;3;2;2;;2;;.;9211;01;0121
20230313;03;2023;7367369;1;1;1;70;;2;452.14973537;18;1;;;;;;;;;1;;12;0;3;LABORES DOMESTICAS;3;1;2;2;;2;;.;9111;97;9700
20230313;03;2023;7367371;1;1;1;70;;2;435.46099186;18;;2;1;52;4;;;48;900000;1;;12;0;6;LIMPIEZA DE POTREROS Y ARREGLO DE CERCOS;7;3;2;2;;1;300000;9211;9211;10;1040
20230313;03;2023;7367371;1;2;1;70;;2;435.46099186;18;1;;;;;;;;;1;;24;0;3;AUXILIAR DE COCINA;1;4;2;2;;2;;.;9412;56;5611
20230313;03;2023;7367373;1;2;1;70;;2;180.95589946;18;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20230313;03;2023;7367375;1;1;1;70;;2;301.04963337;18;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
