PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20230417;04;2023;7396102;1;1;01;;1;683.77261618;68;2;1;4;1;2;2;1;1;2;1;1;4;2;1;1;1;1;1;4;3;;;;;300000;;;;;;;;;1;;;2
20230417;04;2023;7396103;1;1;01;;1;1181.370048;68;1;1;4;1;2;2;1;1;2;1;1;4;3;1;1;1;1;1;4;3;;;;;350000;;;;;;;;;1;;;3
20230417;04;2023;7396104;1;1;01;;1;701.19005561;68;1;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;3;;;;;400000;;;;;;;;;1;;;3
20230417;04;2023;7396105;1;1;01;;1;1143.1667048;68;1;1;2;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;5;2;;250000;80000000;400000;;;;;1;;;;;;;;3
20230417;04;2023;7396106;1;1;01;;1;1499.6243605;68;2;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;3;;;;;400000;;1;;;;;;;;;;4
20230417;04;2023;7396107;1;1;01;;1;816.59671296;68;1;1;4;1;2;2;1;1;2;1;1;3;1;1;1;1;1;1;4;2;;380000;35000000;200000;;;;;1;;1;;;;;;2
20230417;04;2023;7396108;1;1;01;;1;1378.6741421;68;1;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;4;;;;300000;;;1;;;;;;;;;;2
20230417;04;2023;7396109;1;1;01;;1;881.07671036;68;1;1;4;1;2;2;1;1;2;1;1;3;1;1;1;1;1;1;4;4;;;;350000;;;;;;;;;;1;;;1
20230417;04;2023;7396110;1;1;01;;1;889.37878645;68;1;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;4;;;;400000;;;1;;;;;;;;;;3
20230417;04;2023;7396111;1;1;01;;1;681.80980222;68;2;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;1;;;98;400000;;;1;;;;;;;;;;4
20230417;04;2023;7396112;1;1;01;;2;954.96563152;05;2;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;630000;;1;;;;;;;;;;4
20230417;04;2023;7396113;1;1;01;;2;1055.732623;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;650000;;1;;;;;;;;;;3
