PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20230417;04;2023;7396102;1;1;1;70;;1;683.77261618;68;1;;;;;;;;;1;240;1;9;6;2;2;2;;2;;.;5120;01;0141;
20230417;04;2023;7396102;1;2;1;70;;1;683.77261618;68;1;;;;;;;;;1;12;1;7;4;1;2;2;;2;;.;5223;47;4711;
20230417;04;2023;7396103;1;2;1;70;;1;1181.370048;68;1;;;;;;;;;1;5;0;4;1;2;2;2;;2;;.;9112;56;5611;
20230417;04;2023;7396104;1;1;1;70;;1;701.19005561;68;1;;;;;;;;;1;120;0;4;4;2;2;2;;2;;.;6111;01;0111;
20230417;04;2023;7396104;1;2;1;70;;1;701.19005561;68;1;;;;;;;;;1;96;0;4;2;5;2;2;;2;;.;5120;87;8710;
20230417;04;2023;7396105;1;1;1;70;;1;1143.1667048;68;;2;1;53;1;;;48;1100000;1;6;1;7;4;1;2;1;4;2;;5223;9411;56;5619;
20230417;04;2023;7396106;1;3;1;70;;1;1499.6243605;68;1;;;;;;;;;1;4;0;9;1;2;2;2;;2;;.;5113;79;7911;
20230417;04;2023;7396107;1;2;1;70;;1;816.59671296;68;1;;;;;;;;;1;216;1;3;3;1;2;1;4;2;;.;9111;97;9700;
20230417;04;2023;7396108;1;1;1;70;;1;1378.6741421;68;;1;1;8;1;;;48;2000000;1;8;0;1;1;10;2;2;;2;;8331;8331;49;4921;
20230417;04;2023;7396109;1;1;1;70;;1;881.07671036;68;1;;;;;;;;;1;48;0;3;3;1;2;2;;2;;.;9111;97;9700;
20230417;04;2023;7396111;1;3;1;70;;1;681.80980222;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396112;1;1;1;70;;2;954.96563152;05;1;;;;;;;;;1;228;0;3;4;1;2;2;;2;;.;9112;81;8121;
20230417;04;2023;7396113;1;3;1;70;;2;1055.732623;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396114;1;1;1;70;;2;611.67998024;05;1;;;;;;;;;1;48;0;5;4;2;2;3;;2;;.;3422;93;9319;
20230417;04;2023;7396114;1;2;1;70;;2;611.67998024;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396115;1;1;1;70;;2;611.67998024;05;1;;;;;;;;;1;52;0;5;1;7;2;3;;2;;.;7223;25;2599;
20230417;04;2023;7396115;1;2;1;70;;2;611.67998024;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396115;1;3;1;70;;2;611.67998024;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396115;1;4;1;70;;2;611.67998024;05;1;;;;;;;;;1;24;0;2;1;7;2;2;;2;;.;3334;68;6820;
20230417;04;2023;7396116;1;2;1;70;;2;490.98536029;05;1;;;;;;;;;1;36;0;3;3;1;2;2;;2;;.;9111;97;9700;
20230417;04;2023;7396117;1;1;1;70;;2;871.10521922;05;1;;;;;;;;;1;132;0;8;1;2;2;2;;2;;.;5112;49;4921;
20230417;04;2023;7396117;1;2;1;70;;2;871.10521922;05;1;;;;;;;;;1;120;0;5;2;2;2;3;;2;;.;5311;85;8511;
20230417;04;2023;7396118;1;1;1;70;;2;1169.8556823;05;1;;;;;;;;;1;12;0;4;1;4;2;3;;2;;.;2651;90;9005;
20230417;04;2023;7396120;1;1;1;70;;2;490.98536029;05;1;;;;;;;;;1;84;1;5;1;4;2;3;;2;;.;8153;14;1410;
20230417;04;2023;7396121;1;2;1;70;;2;762.98097988;05;1;;;;;;;;;1;276;0;3;1;4;2;2;;2;;.;1420;10;1081;
20230417;04;2023;7396121;1;3;1;70;;2;762.98097988;05;1;;;;;;;;;1;148;0;4;1;3;2;2;;2;;.;5329;32;3250;
20230417;04;2023;7396121;1;4;1;70;;2;762.98097988;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396122;1;1;1;70;;2;468.46703086;05;1;;;;;;;;;1;120;0;5;1;10;2;3;;2;;.;8151;13;1311;
20230417;04;2023;7396122;1;2;1;70;;2;468.46703086;05;1;;;;;;;;;1;180;0;5;1;4;2;3;;2;;.;8153;14;1410;
20230417;04;2023;7396126;1;1;1;70;;2;479.92167676;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396128;1;2;1;70;;2;561.42669113;05;1;;;;;;;;;2;;;;;;;1;1;2;;.;.;;.;
20230417;04;2023;7396129;1;2;1;70;;2;392.78828823;05;;2;1;24;4;;;48;1000000;1;12;0;8;4;1;2;2;;2;;5142;5223;47;4771;
20230417;04;2023;7396132;1;3;1;70;;2;1921.7320964;23;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396134;1;2;1;70;;2;1742.7524577;23;1;;;;;1;;36;800000;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396135;1;1;1;70;;2;1068.1328504;23;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230417;04;2023;7396135;1;2;1;70;;2;1068.1328504;23;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
