PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20230730;07;2023;7481712;1;1;01;;2;1179.9254604;70;1;1;2;1;0;2;2;2;;2;1;3;1;2;1;4;3;5;5;4;;;;300000;;;;;;;;;;1;;;5
20230730;07;2023;7481713;1;1;01;;2;1259.6492176;70;1;1;2;1;0;2;2;2;;2;1;3;2;2;1;4;8;1;4;5;;;;200000;;;;;;;;;;1;;;2
20230730;07;2023;7481714;1;1;01;;2;1906.923954;70;1;1;4;1;0;2;2;2;;2;1;4;1;2;1;4;10;1;5;4;;;;400000;;;;;;;;;;1;;;2
20230730;07;2023;7481715;1;1;01;;2;1974.6544191;70;1;4;1;1;0;2;2;2;;2;1;2;1;2;1;4;3;6;;4;;;;80000;;;;;;;;;;1;;;2
20230730;07;2023;7481716;1;1;01;;2;2388.6036017;70;1;1;2;1;0;2;2;2;;2;1;2;1;2;1;3;10;1;1;4;;;;200000;;;;;;;;;;1;;;1
20230730;07;2023;7481717;1;1;01;;2;1785.0002357;70;1;1;1;1;0;2;2;2;;2;1;2;1;2;1;4;3;5;5;5;;;;180000;;;;;;;;;;1;;;1
20230730;07;2023;7481718;1;1;01;;1;1497.7047656;68;1;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;800000;;1;;;;;;;;;;3
20230730;07;2023;7481719;1;1;01;;1;1202.7040432;68;1;1;2;1;2;1;1;1;2;1;1;7;2;1;1;1;1;1;3;1;;;150000000;400000;;;1;;;;;;;;;;2
20230730;07;2023;7481720;1;1;01;;1;1041.3452743;68;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;350000;;1;;;;;;;;;;3
20230730;07;2023;7481721;1;1;01;;1;1226.5758228;68;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;1;;;80000000;300000;;;1;;;;;;;;;;2
20230730;07;2023;7481722;1;1;01;;1;962.82248585;68;2;1;4;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;3;3;;;;;400000;;1;;;;1;;;;;;2
20230730;07;2023;7481723;1;1;01;;1;1744.9686875;68;1;1;4;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;99;400000;;;1;;;;;;;;;;5
20230730;07;2023;7481724;1;1;01;;1;937.14747944;68;1;1;2;1;2;1;1;1;2;1;1;4;1;1;1;1;1;1;3;1;;;98;250000;;;;;;;;;;1;;;1
20230730;07;2023;7481725;1;1;01;;1;1173.7280407;68;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;280000;;1;;;;;;;;;;2
20230730;07;2023;7481726;1;1;01;;1;1685.7159401;68;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;300000;;1;;;;;;;;;;3
20230730;07;2023;7481727;1;1;01;;1;855.9934751;68;1;1;4;1;2;1;1;1;2;1;1;5;2;1;1;1;1;1;3;2;;2000000;150000000;700000;;1;1;;1;;1;1;;;;;2
20230730;07;2023;7481728;1;1;01;;1;975.51307358;68;1;1;4;1;2;2;1;1;3;1;1;4;2;1;1;1;1;1;4;1;;;120000000;450000;;;;;;;;;;1;;;3
20230730;07;2023;7481729;1;1;01;;1;1432.8285509;68;2;1;4;1;2;2;1;1;3;1;1;4;3;1;1;1;1;1;4;3;;;;;500000;;1;;;;;;;;;;4
20230730;07;2023;7481730;1;1;01;;1;1421.099767;68;2;1;4;1;2;2;1;1;3;1;1;4;3;1;1;1;1;1;4;3;;;;;500000;;;;;;;;;1;;;4
20230730;07;2023;7481731;1;1;01;;1;810.0034313;68;2;1;4;1;2;2;1;1;3;1;1;4;2;1;1;1;1;1;4;1;;;160000000;650000;;;;;;;1;;;;;;4
20230730;07;2023;7481732;1;1;01;;1;810.0034313;68;2;1;4;1;2;2;1;1;3;1;1;3;2;1;1;1;1;1;4;3;;;;;370000;;;;;;;;;1;;;4
20230730;07;2023;7481733;1;1;01;;1;1338.7223495;68;2;1;4;1;2;2;1;1;3;1;1;4;1;1;1;1;1;1;4;3;;;;;420000;;;;;;;;;1;;;1
20230727;07;2023;7481734;1;1;01;05;1;1245.6553128;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;550000;;1;;;;;;;;;;4
20230727;07;2023;7481735;1;1;01;05;1;1213.6808599;05;2;1;2;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;1;;;100000000;600000;;;1;;;;;;;;;;1
20230727;07;2023;7481736;1;1;01;05;1;1030.3967469;05;2;1;4;1;6;1;1;1;2;1;1;5;4;1;1;1;1;1;3;1;;;1100000000;5000000;;;1;;;;;;;;;;3
20230727;07;2023;7481737;1;1;01;05;1;1522.3424204;05;2;1;4;1;6;1;1;1;2;1;1;5;4;1;1;1;1;1;3;2;;4000000;100000000;5000000;;;1;;;;;;;;;;4
20230727;07;2023;7481738;1;1;01;05;1;4017.7735954;05;2;1;4;1;4;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;180000000;1500000;;;1;;;;;;;;;;4
20230727;07;2023;7481739;1;1;01;05;1;3281.9021624;05;2;1;4;1;4;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;1500000;;1;;;;;;;;;;2
20230727;07;2023;7481740;1;1;01;05;1;3281.9021624;05;2;1;4;1;4;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;2100000;;1;;;;;;;;;;2
20230727;07;2023;7481741;1;1;01;05;1;4273.5134237;05;2;1;4;1;4;1;1;1;2;1;1;4;3;1;1;1;1;1;3;1;;;350000000;1500000;;;1;;;;;;;;;;3
20230727;07;2023;7481742;1;1;01;05;1;2224.3110246;05;2;1;4;1;3;1;1;1;3;1;1;4;4;1;1;1;1;1;3;3;;;;;900000;;1;;;;1;;;;;;4
20230727;07;2023;7481743;1;1;01;05;1;5650.8704494;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;900000;;1;;;;;;;;;;5
20230727;07;2023;7481744;1;1;01;05;1;2820.298591;05;1;1;4;1;3;1;1;1;3;1;1;5;2;1;1;1;1;1;3;6;;;;700000;;;1;;;;;;;;;;2
20230727;07;2023;7481745;1;1;01;05;1;7077.5715942;05;2;1;4;1;3;2;1;1;3;1;1;1;1;1;1;1;1;3;4;3;;;;;600000;;;;;;;;;1;;;1
20230727;07;2023;7481746;1;1;01;05;1;1209.3175939;05;1;1;4;1;2;1;1;1;2;1;1;5;1;1;1;1;1;1;3;4;;;;98;;;1;;;;;;;;;;2
20230727;07;2023;7481747;1;1;01;05;1;1099.3018583;05;2;1;4;1;6;1;1;1;2;1;1;5;3;1;1;1;1;1;3;1;;;1200000000;8000000;;;1;1;;;;1;;;;;4
20230727;07;2023;7481748;1;1;01;05;1;1202.9142185;05;2;1;4;1;6;1;1;1;2;1;1;5;4;1;1;1;1;1;3;2;;3000000;1700000000;8000000;;1;1;1;;;;1;;;;;4
20230727;07;2023;7481749;1;1;01;05;1;1371.3721564;05;1;1;3;1;2;1;1;1;2;1;1;2;2;1;1;1;1;1;3;3;;;;;656000;;1;;;;;;;;;;4
20230727;07;2023;7481750;1;1;01;05;1;696.07368107;05;2;1;2;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;4;;;;600000;;;1;;;;;;;;;;4
20230727;07;2023;7481751;1;1;01;05;1;3653.1134944;05;2;1;4;1;3;1;1;1;3;1;1;6;5;1;1;1;1;1;3;3;;;;;1200000;;1;;;;;;;;;;7
20230727;07;2023;7481752;1;1;01;05;1;1395.0002457;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;530000;;1;;;;;;;;;;5
20230727;07;2023;7481753;1;1;01;05;1;1185.385413;05;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;1;;;100000000;500000;;;1;;;;;;;;;;1
20230727;07;2023;7481754;1;1;01;05;1;699.56429392;05;2;1;4;1;2;1;1;1;2;1;1;5;4;1;1;1;1;1;3;3;;;;;900000;;1;;;;;;;;;;3
20230727;07;2023;7481755;1;1;01;05;1;1081.214041;05;2;1;4;1;2;1;1;1;2;1;1;5;3;1;1;1;1;1;3;1;;;250000000;1100000;;;1;;;;1;1;;;;;3
20230727;07;2023;7481756;1;1;01;05;1;834.62136501;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;30000000;500000;;;1;;;;1;1;;;;;3
20230727;07;2023;7481757;1;1;01;05;1;668.87283139;05;2;1;4;1;2;1;1;1;2;1;1;5;4;1;1;1;1;1;3;1;;;150000000;600000;;;1;;;;;;;;;;5
20230727;07;2023;7481758;1;1;01;05;1;636.04896285;05;2;1;4;1;2;1;1;1;2;1;1;5;3;1;1;1;1;1;3;3;;;;;850000;;1;;;;;;;;;;4
20230727;07;2023;7481759;1;1;01;05;1;1185.385413;05;2;1;4;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;4;3;;;;;400000;;1;;;;;;;;;;1
