PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20230939;09;2023;7538830;1;1;01;;2;505.24399533;68;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;1
20230939;09;2023;7538831;1;1;01;;2;616.34154838;68;1;1;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;3;4;;;;400000;;;1;;;;;;;;;;4
20230939;09;2023;7538832;1;1;01;;2;281.40086958;68;1;1;4;1;1;1;1;1;1;1;1;4;3;1;1;1;1;3;3;2;;99;99;600000;;;1;;;;1;;;;;;4
20230939;09;2023;7538833;1;1;01;;2;489.83566312;68;1;1;4;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;3;;;;;320000;;1;;;;;;;;;;4
20230939;09;2023;7538834;1;1;01;;2;476.0989337;68;1;1;4;1;1;1;1;1;1;1;1;4;3;1;1;1;1;1;3;1;;;85000000;500000;;;1;;;;;;;;;;4
20230939;09;2023;7538835;1;1;01;;2;439.93641324;68;1;1;4;1;1;1;1;1;1;1;1;4;3;1;1;1;1;1;3;1;;;99;99;;;1;;;;;;;;;;3
20230939;09;2023;7538836;1;1;01;;2;665.75297359;68;1;1;4;1;1;1;1;1;1;1;1;4;3;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;5
20230939;09;2023;7538837;1;1;01;;2;381.58711552;68;1;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;1;;;45000000;350000;;;1;;;;;;;;;;3
20230939;09;2023;7538840;1;1;01;;2;234.11473618;68;1;1;4;1;1;1;2;1;1;1;1;3;2;2;1;1;1;1;3;6;;;;400000;;;1;;;;;;;;;;3
20230939;09;2023;7538841;1;1;01;;2;153.49138341;68;1;1;4;1;1;1;2;1;1;1;1;3;1;2;1;1;1;1;3;2;;800000;99;99;;;1;;;;1;;;;;;1
20230939;09;2023;7538842;1;1;01;;2;428.6227911;68;2;1;4;1;1;1;2;1;1;1;1;3;2;2;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;5
20230939;09;2023;7538843;1;1;01;;2;182.56283535;68;1;1;4;1;1;1;2;1;1;1;1;3;2;2;1;1;1;1;3;1;;;80000000;400000;;;1;;;;;;;;;;2
20230939;09;2023;7538844;1;1;01;;2;586.86630888;68;1;1;4;1;1;1;2;1;1;1;1;3;1;2;1;1;1;1;3;3;;;;;500000;;1;;1;;1;;;;;;4
20230939;09;2023;7538845;1;1;01;;2;221.94641554;68;1;1;4;1;1;1;2;1;1;1;1;3;1;2;1;1;1;1;3;1;;;58000000;500000;;;1;;;;;1;;;;;2
20230939;09;2023;7538846;1;1;01;;2;411.55069147;68;1;1;4;1;1;1;2;1;1;1;1;4;3;2;1;1;1;1;3;1;;;90000000;500000;;;1;;;;;;;;;;5
20230939;09;2023;7538847;1;1;01;;2;176.71225522;68;2;1;4;1;1;1;2;1;1;1;1;2;1;2;1;1;1;3;3;3;;;;;450000;;1;;;;;;;;;;2
20230939;09;2023;7538848;1;1;01;;2;416.77920387;68;1;1;4;1;1;1;2;1;1;1;1;4;3;2;1;1;1;1;3;4;;;;480000;;;1;;;;;;;;;;4
20230939;09;2023;7538849;1;1;01;;2;220.30549073;68;1;1;2;1;1;1;2;1;1;1;1;3;2;2;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;3
20230939;09;2023;7538850;1;1;01;;2;440.78985518;68;1;1;2;1;1;1;2;1;1;1;1;3;2;2;1;1;1;1;3;3;;;;;300000;;;;;;;;;1;;;5
20230939;09;2023;7538852;1;1;01;;1;1681.9954046;68;2;1;4;1;2;2;1;1;4;1;1;3;1;1;1;1;1;1;4;3;;;;;440000;;1;;;;;;;;;;2
20230939;09;2023;7538853;1;1;01;;1;1227.7457046;68;2;1;4;1;2;2;1;1;4;1;1;3;2;1;1;1;1;1;4;3;;;;;500000;;;;;;;;;1;;;3
20230939;09;2023;7538854;1;1;01;;1;1313.655185;68;2;1;4;1;2;2;1;1;4;1;1;2;1;1;1;1;1;1;4;1;;;90000000;350000;;;;;;;;;;1;;;2
20230939;09;2023;7538855;1;1;01;;1;1729.972702;68;2;1;4;1;2;2;1;1;4;1;1;2;1;1;1;1;1;3;4;3;;;;;300000;;1;;;;;;;;;;1
20230939;09;2023;7538856;1;1;01;;1;1313.655185;68;2;1;4;1;2;2;1;1;4;1;1;2;1;1;1;1;1;1;4;1;;;90000000;600000;;;;;;;;;;1;;;2
20230939;09;2023;7538857;1;1;01;;2;368.89080507;54;1;1;2;1;1;2;1;1;2;1;1;3;2;1;1;1;1;1;4;5;;;;250000;;;1;;;;;;;;;;3
20230939;09;2023;7538858;1;1;01;;2;613.40653954;54;1;1;4;1;1;2;1;1;2;1;1;5;4;1;1;1;1;1;4;1;;;99;250000;;;1;;;;;;;;;;6
20230939;09;2023;7538859;1;1;01;;2;275.90621788;54;1;1;2;1;1;2;1;1;2;1;1;3;2;1;1;1;1;1;4;5;;;;200000;;;;;;;;;;1;;;2
20230939;09;2023;7538860;1;1;01;;2;425.12389518;54;1;1;4;1;1;2;1;1;2;1;1;4;3;1;1;1;1;3;4;4;;;;250000;;;1;;;;1;;;;;;4
20230939;09;2023;7538861;1;1;01;;2;359.75529603;54;1;5;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;4;4;3;;;;;100000;;1;;;;;;;;;;1
20230939;09;2023;7538863;1;1;01;;2;275.90621788;54;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;4;5;;;;150000;;;;;;;;;;1;;;2
20230939;09;2023;7538865;1;1;01;;2;476.59684049;54;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;3;4;4;;;;300000;;;1;;;;;;;;;;4
20230939;09;2023;7538866;1;1;01;;2;623.25640096;54;1;1;4;1;1;2;2;1;2;2;1;4;3;3;1;1;3;3;4;4;;;;300000;;;1;;;;;;;;;;5
20230939;09;2023;7538867;1;1;01;;2;435.96310182;54;1;1;2;1;1;2;2;1;2;2;1;3;2;2;1;1;3;3;4;3;;;;;100000;;;;;;;;;1;;;2
20230939;09;2023;7538868;1;1;01;;2;433.07938627;54;1;1;4;1;1;2;2;1;2;2;1;3;2;3;1;1;6;1;4;1;;;98;300000;;;1;;;;1;;;;;;4
20230938;09;2023;7538869;1;1;01;;1;171.72179368;05;2;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;2;1;3;3;;;;;500000;;1;;;;;;;;;;3
20230938;09;2023;7538870;1;1;01;;1;69.985050648;05;1;1;4;1;3;1;1;1;3;1;1;7;4;1;1;1;1;1;3;1;;;350000000;1200000;;;1;;;;;1;;;;;6
20230938;09;2023;7538871;1;1;01;;1;69.985050648;05;1;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;200000000;1500000;;;1;;;;;1;;;;;4
20230938;09;2023;7538872;1;1;01;;1;125.97896327;05;1;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;400000000;1500000;;;;;;;;;;1;;;5
20230938;09;2023;7538873;1;1;01;;1;182.44525931;05;2;1;4;1;3;2;1;1;3;1;1;4;1;1;1;1;1;1;4;3;;;;;700000;;1;;;;;;;;;;2
20230938;09;2023;7538874;1;1;01;;1;176.96587744;05;1;1;4;1;3;1;1;1;3;1;1;4;1;1;1;1;1;1;3;1;;;200000000;1200000;;;1;;;;;;;;;;1
20230938;09;2023;7538876;1;1;01;;1;173.46806775;05;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;4;;;;1000000;;;1;;;;1;;;;;;4
20230937;09;2023;7538877;1;1;01;;1;403.31603806;05;2;1;4;1;3;2;1;1;3;1;1;6;2;1;1;1;1;1;4;1;;;400000000;2200000;;;1;;;;;;;;;;2
20230937;09;2023;7538878;1;1;01;;1;263.78095026;05;2;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;3;;;;;1100000;;1;;;;;;;;;;2
20230937;09;2023;7538879;1;1;01;;1;362.478862;05;1;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;400000000;800000;;;1;;;;;;;;;;3
20230937;09;2023;7538880;1;1;01;;1;186.90258644;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;400000000;1500000;;;;;;;;;;1;;;3
